Species	Source
Lepidopus manis	Local_csv
Lepidonectes corallicola	Local_csv
Kathetostoma averruncus	Local_csv
Xiphias gladius	Local_csv
Lycodapus australis	Local_csv
Melanostigma bathium	Local_csv
Thermarces cerberus	Local_csv
Acanthurus nigricans	Local_csv
Acanthurus xanthopterus	Local_csv
Naso annulatus	Local_csv
Naso brevirostris	Local_csv
Naso hexacanthus	Local_csv
Naso vlamingii	Local_csv
Prionurus punctatus	Local_csv
Zanclus cornutus	Local_csv
Entomacrodus chiostictus	Local_csv
Hypsoblennius brevipinnis	Local_csv
Acanthemblemaria castroi	Local_csv
Chaenopsis schmitti	Local_csv
Cottoclinus canops	Local_csv
Dialommus fuscus	Local_csv
Labrisomus dendriticus	Local_csv
Labrisomus jenkinsi	Local_csv
Labrisomus multiporosus	Local_csv
Malacoctenus tetranemus	Local_csv
Malacoctenus zonogaster	Local_csv
Starksia galapagensis	Local_csv
Tomicodon chilensis	Local_csv
Tomicodon petersii	Local_csv
Arcos poecilophthalmos	Local_csv
Eleotrica cableae	Local_csv
Bathygobius lineatus	Local_csv
Coryphopterus urospilus	Local_csv
Elacatinus nesiotes	Local_csv
Chriolepis tagus	Local_csv
Lythrypnus dalli	Local_csv
Lythrypnus rhizophora	Local_csv
Decodon melasma	Local_csv
Halichoeres adustus	Local_csv
Halichoeres chierchiae	Local_csv
Halichoeres melanotis	Local_csv
Halichoeres notospilus	Local_csv
Halichoeres raisneri	Local_csv
Iniistius pavo	Local_csv
Novaculichthys taeniourus	Local_csv
Stethojulis bandanensis	Local_csv
Thalassoma purpureum	Local_csv
Calotomus carolinus	Local_csv
Scarus compressus	Local_csv
Scarus rubroviolaceus	Local_csv
Nicholsina denticulata	Local_csv
Caranx sexfasciatus	Local_csv
Decapterus macarellus	Local_csv
Decapterus punctatus	Local_csv
Gnathanodon speciosus	Local_csv
Naucrates ductor	Local_csv
Oligoplites saurus	Local_csv
Trachurus murphyi	Local_csv
Uraspis helvola	Local_csv
Chaetodon auriga	Local_csv
Chaetodon kleinii	Local_csv
Chaetodon lunula	Local_csv
Chaetodon meyeri	Local_csv
Chaetodon unimaculatus	Local_csv
