Species	Source
Eohaustorius sawyeri	GBIF
Gammarus lacustris	GBIF
Herbstia parvifrons	GBIF
Cystisoma fabricii	GBIF
Americorophium spinicorne	GBIF
Pagurus brandti	GBIF
Lepeophtheirus parvicruris	GBIF
Bentheogennema borealis	GBIF
Pandalus montagui	GBIF
Eohaustorius washingtonianus	GBIF
Pontogeneia ivanovi	GBIF
Chondrochelia dubia	GBIF
Ampithoe simulans	GBIF
Euchirella rostrata	GBIF
Haplostomella dubia	GBIF
Doridicola sunnivae	GBIF
Leptostylis villosa	GBIF
Caprella mendax	GBIF
Pseudotanais californiensis	GBIF
Scyllarella manleyi	GBIF
Deutella californica	GBIF
Mursia marcusana	GBIF
Microjassa barnardi	GBIF
Branchiolambrus altus	GBIF
Rocinela tridens	GBIF
Lophopanopeus diegensis	GBIF
Raninoides dickersoni	GBIF
Synapseudes intumescens	GBIF
Pinnixa rathbuni	GBIF
Amphiascopsis cinctus	GBIF
Anonyx lilljeborgi	GBIF
Callianassa knapptonensis	GBIF
Euchirella formosa	GBIF
Pagurus hartae	GBIF
Halicoides lolo	GBIF
Calanus helgolandicus	GBIF
Haplostoma ambiguum	GBIF
Fabia concharum	GBIF
Faxonius transfuga	GBIF
Stygobromus wahkeenensis	GBIF
Pylopagurus holmesi	GBIF
Enteropsis roscoffensis	GBIF
Herrmannella saxidomi	GBIF
Acanthamunnopsis milleri	GBIF
Undeuchaeta plumosa	GBIF
Cyamus boopis	GBIF
Coeloma martinezensis	GBIF
Gilvossius candidus	GBIF
Callianopsis clallamensis	GBIF
Macrocheira columbiaensis	GBIF
Callianassa umpquaensis	GBIF
Megokkos feldmanni	GBIF
Cancer coosensis	GBIF
Shinkaia katapsyxis	GBIF
Lophaxius investigatoris	GBIF
Oediceroides abyssorum	GBIF
Eriocheir japonica	GBIF
Cyamus mesorubraedon	GBIF
Caprella rudiuscula	GBIF
Microjassa boreopacifica	GBIF
Romaleon gibbosulum	GBIF
Parapleustes americanus	GBIF
Pinnotheres pisum	GBIF
Thorlaksonius truncatus	GBIF
Eudorella tridentata	GBIF
Eyakia robusta	GBIF
Acanthochondria dojirii	GBIF
Parametaphoxus quaylei	GBIF
Alamprops quadriplicatus	GBIF
Photis macinerneyi	GBIF
Boreomysis californica	GBIF
Zeuxo normani	GBIF
Mesopleustes abyssorum	GBIF
Bemlos concavus	GBIF
Pagurus spina	GBIF
Lophothrix frontalis	GBIF
Ramellogammarus columbianus	GBIF
Acanthochondria epachthes	GBIF
Lucicutia bicornuta	GBIF
Dynamene glabra	GBIF
Stygobromus saltuaris	GBIF
Quadrimaera reishi	GBIF
Pagurus townsendi	GBIF
Eogammarus confervicolus	GBIF
Carinonajna barnardi	GBIF
Munidopsis aries	GBIF
Photis pachydactyla	GBIF
Cheirimedeia macrocarpa	GBIF
Thermosphaeroma dugesi	GBIF
Parallorchestes leblondi	GBIF
Incisocalliope derzhavini	GBIF
Munidopsis pallida	GBIF
Clavella uncinata	GBIF
Longusorbis cuniculosus	GBIF
Upogebia barti	GBIF
Neotrypaea gigas	GBIF
Pachygrapsus crassipes	GBIF
Heptacarpus sitchensis	GBIF
Pentidotea resecata	GBIF
Cancer productus	GBIF
Glebocarcinus oregonensis	GBIF
Spirontocaris lamellicornis	GBIF
Rocinela belliceps	GBIF
Metacaprella kennerlyi	GBIF
Pachycheles rudis	GBIF
Metacrangon munita	GBIF
Pasiphaea magna	GBIF
Argeia pugettensis	GBIF
Caprella verrucosa	GBIF
Pagurus samuelis	GBIF
Pagurus kennerlyi	GBIF
Lebbeus grandimanus	GBIF
Aoroides intermedius	GBIF
Orchomene pacifica	GBIF
Hippolyte clarki	GBIF
Megalorchestia pugettensis	GBIF
Cenomanocarcinus beardi	GBIF
Heptacarpus tenuissimus	GBIF
Eualus macrophthalmus	GBIF
Argis lar	GBIF
Acartia danae	GBIF
Acartia tonsa	GBIF
Eudorellopsis longirostris	GBIF
Caprella irregularis	GBIF
Pacifoculodes spinipes	GBIF
Palaemon modestus	GBIF
Labidochirus splendescens	GBIF
Bathycopea daltonae	GBIF
Paraphoxus similis	GBIF
Rhinolithodes wosnessenskii	GBIF
Ischyrocerus pelagops	GBIF
Ampelisca unsocalae	GBIF
Pseudione galacanthae	GBIF
Salmincola californiensis	GBIF
Munidopsis antonii	GBIF
Liljeborgia cota	GBIF
Caprella mutica	GBIF
Metaphoxus frequens	GBIF
Palaemon macrodactylus	GBIF
Cylisticus convexus	GBIF
Calliopius carinatus	GBIF
Pentidotea recta	GBIF
Oncaea glabra	GBIF
Gibbamblyops longisquamosa	GBIF
Dynamenella sheareri	GBIF
Heterophoxus oculatus	GBIF
Pseudodiaptomus forbesi	GBIF
Eriocheir sinensis	GBIF
Lophomastix kellyi	GBIF
Archaeomysis grebnitzkii	GBIF
Romaleon jordani	GBIF
Themisto japonica	GBIF
Haplostoma elegans	GBIF
Bathyceradocus wuzzae	GBIF
Munidopsis bairdii	GBIF
Jassa marmorata	GBIF
Iais californica	GBIF
Janiralata occidentalis	GBIF
Minuca pugnax	GBIF
Anonyx comecrudus	GBIF
Boreomysis pearcyi	GBIF
Sarsamphiascus undosus	GBIF
Ramellogammarus ramellus	GBIF
Mimonectes loveni	GBIF
Lycaea osbornae	GBIF
Hymenodora acanthitelsonis	GBIF
Heptacarpus palpator	GBIF
Herrmannella columbiae	GBIF
Microcalanus pygmaeus	GBIF
Aoroides spinosus	GBIF
Paraphronima crassipes	GBIF
Meterythrops robusta	GBIF
Acartia hudsonica	GBIF
Araphura breviaria	GBIF
Paramoera bucki	GBIF
Campylaspis biplicata	GBIF
Atylus levidensus	GBIF
Maera danae	GBIF
Limnoria algarum	GBIF
Raninoides vaderensis	GBIF
Macroacaena alseana	GBIF
Gnathopleustes serratus	GBIF
Photis parvidons	GBIF
Leucon fulvus	GBIF
Chondracanthus pinguis	GBIF
Acantholochus venustus	GBIF
Pinnotheres taylori	GBIF
Dactylopusia vulgaris	GBIF
Paraphoxus epistomus	GBIF
Parapasiphae sulcatifrons	GBIF
Podocerus spongicolus	GBIF
Processa peruviana	GBIF
Panopeus baldwini	GBIF
Polycheria carinata	GBIF
Chevalia aviculae	GBIF
Centropages abdominalis	GBIF
Ampithoe rubricata	GBIF
Monoculodes brevirostris	GBIF
Gnorimosphaeroma insulare	GBIF
Rocinela americana	GBIF
Hourstonius vilordes	GBIF
Ptilohyale littoralis	GBIF
Rhachotropis inflata	GBIF
Jassa falcata	GBIF
Petalophthalmus armiger	GBIF
Hesperodiaptomus franciscanus	GBIF
Uromunna ubiquita	GBIF
Munna halei	GBIF
Chromopleustes lineatus	GBIF
Excirolana chiltoni	GBIF
Chondracanthus pusillus	GBIF
Heptacarpus flexus	GBIF
Carinonajna longimana	GBIF
Carinonajna lessoniophila	GBIF
Ampithoe kussakini	GBIF
Maera loveni	GBIF
Leimia vaga	GBIF
Majoxiphalus maximus	GBIF
Gammaropsis ellisi	GBIF
Cystisoma latipes	GBIF
Hesperodiaptomus kenai	GBIF
Neognathophausia gigas	GBIF
Crangon allmanni	GBIF
Onchocalanus magnus	GBIF
Haplostoma minutum	GBIF
Clausocalanus arcuicornis	GBIF
Spinocalanus brevicaudatus	GBIF
Microsetella norvegica	GBIF
Rhepoxynius tridentatus	GBIF
Rhynohalicella halona	GBIF
Heptacarpus herdmani	GBIF
Oradarea longimana	GBIF
Trichopeltarion granulosa	GBIF
Bruzelia tuberculata	GBIF
Planes marinus	GBIF
Photis reinhardi	GBIF
Munidopsis tiburon	GBIF
Gennadas kempi	GBIF
Discerceis granulosa	GBIF
Pandalus borealis	GBIF
Crangon septemspinosa	GBIF
Ampelisca careyi	GBIF
Nebalia pugettensis	GBIF
Mesocrangon munitella	GBIF
Diastylis pellucida	GBIF
Neocrangon abyssorum	GBIF
Petrolisthes eriomerus	GBIF
Triconia borealis	GBIF
Oregonia gracilis	GBIF
Pentidotea wosnesenskii	GBIF
Pleurogonium rubicundum	GBIF
Ligia pallasii	GBIF
Eucalanus bungii	GBIF
Megamoera dentata	GBIF
Gammaropsis thompsoni	GBIF
Chionoecetes tanneri	GBIF
Candacia columbiae	GBIF
Rhynocrangon alata	GBIF
