"ASV_id","Sample_name","BestTaxon","Class","nReads","name_match_type","domain","phylum","class","order","family","genus","species","before_domain","after_domain","before_phylum","after_phylum","before_class","after_class","before_order","after_order","before_family","after_family","before_genus","after_genus","before_species","after_species","regatta_match_rank","after_scientific_name"
"row_470","RL2501_F018_2_MV1","Myctophum nitidulum","Actinopteri",100,"scientific name","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Myctophiformes","Myctophiformes","Myctophidae","Myctophidae","Myctophum","Myctophum","Myctophum nitidulum","Myctophum nitidulum","species","Myctophum nitidulum"
"row_471","RL2501_F018_2_MV1","Phosichthyidae","Actinopteri",51906,"scientific name","Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA,"Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Stomiiformes","Stomiiformes","Phosichthyidae","Phosichthyidae",NA,NA,NA,NA,"family","Phosichthyidae"
"row_472","RL2501_F018_2_MV1","Symbolophorus californiensis","Actinopteri",4528,"scientific name","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Myctophiformes","Myctophiformes","Myctophidae","Myctophidae","Symbolophorus","Symbolophorus","Symbolophorus californiensis","Symbolophorus californiensis","species","Symbolophorus californiensis"
"row_473","RL2501_F018_2_MV1",NA,NA,13378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"row_474","RL2501_F018_3_MV1","Ceratoscopelus","Actinopteri",4815,"scientific name","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA,"Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Myctophiformes","Myctophiformes","Myctophidae","Myctophidae","Ceratoscopelus","Ceratoscopelus",NA,NA,"genus","Ceratoscopelus"
"row_475","RL2501_F018_3_MV1","Cyclothone signata","Actinopteri",4546,"scientific name","Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Stomiiformes","Stomiiformes","Gonostomatidae","Gonostomatidae","Cyclothone","Cyclothone","Cyclothone signata","Cyclothone signata","species","Cyclothone signata"
"row_476","RL2501_F018_3_MV1","Engraulis mordax","Actinopteri",3,"scientific name","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Clupeiformes","Clupeiformes","Engraulidae","Engraulidae","Engraulis","Engraulis","Engraulis mordax","Engraulis mordax","species","Engraulis mordax"
"row_477","RL2501_F018_3_MV1","Gigantactis vanhoeffeni","Actinopteri",67,"scientific name","Eukaryota","Chordata","Actinopteri","Lophiiformes","Gigantactinidae","Gigantactis","Gigantactis vanhoeffeni","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lophiiformes","Lophiiformes","Gigantactinidae","Gigantactinidae","Gigantactis","Gigantactis","Gigantactis vanhoeffeni","Gigantactis vanhoeffeni","species","Gigantactis vanhoeffeni"
"row_478","RL2501_F018_3_MV1","Grampus griseus","Mammalia",29,"scientific name","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Grampus","Grampus griseus","Eukaryota","Eukaryota","Chordata","Chordata","Mammalia","Mammalia","Artiodactyla","Artiodactyla","Delphinidae","Delphinidae","Grampus","Grampus","Grampus griseus","Grampus griseus","species","Grampus griseus"
"row_479","RL2501_F018_3_MV1","Homo sapiens","Mammalia",26,"scientific name","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Eukaryota","Eukaryota","Chordata","Chordata","Mammalia","Mammalia","Primates",NA,"Hominidae",NA,"Homo",NA,"Homo sapiens",NA,"class","Mammalia"
