"Species","Source"
"Pylopagurus holmesi","GBIF"
"Enteropsis roscoffensis","GBIF"
"Halicoides lolo","GBIF"
"Lophaxius investigatoris","GBIF"
"Eriocheir japonica","GBIF"
"Stygobromus wahkeenensis","GBIF"
"Doridicola sunnivae","GBIF"
"Euchirella formosa","GBIF"
"Incisocalliope derzhavini","GBIF"
"Munidopsis pallida","GBIF"
"Upogebia barti","GBIF"
"Clavella uncinata","GBIF"
"Rocinela belliceps","GBIF"
"Lebbeus grandimanus","GBIF"
"Pachygrapsus crassipes","GBIF"
"Neotrypaea californiensis","GBIF"
"Spirontocaris lamellicornis","GBIF"
"Pagurus samuelis","GBIF"
"Pentidotea resecata","GBIF"
"Cancer productus","GBIF"
"Glebocarcinus oregonensis","GBIF"
"Megalorchestia pugettensis","GBIF"
"Cylisticus convexus","GBIF"
"Heptacarpus sitchensis","GBIF"
"Pagurus kennerlyi","GBIF"
"Caprella mutica","GBIF"
"Argeia pugettensis","GBIF"
"Pseudione galacanthae","GBIF"
"Palaemon macrodactylus","GBIF"
"Rhinolithodes wosnessenskii","GBIF"
"Pachycheles rudis","GBIF"
"Pentidotea recta","GBIF"
"Heptacarpus tenuissimus","GBIF"
"Bathyceradocus wuzzae","GBIF"
"Spirontocaris holmesi","GBIF"
"Themisto japonica","GBIF"
"Rathbunixa occidentalis","GBIF"
"Haplostoma elegans","GBIF"
"Gibbamblyops longisquamosa","GBIF"
"Pasiphaea magna","GBIF"
"Aoroides intermedius","GBIF"
"Caprella verrucosa","GBIF"
"Oncaea glabra","GBIF"
"Pseudodiaptomus forbesi","GBIF"
"Eusergestes similis","GBIF"
"Archaeomysis grebnitzkii","GBIF"
"Alienacanthomysis macropsis","GBIF"
"Microcalanus pygmaeus","GBIF"
"Aoroides spinosus","GBIF"
"Lophomastix kellyi","GBIF"
"Panopeus baldwini","GBIF"
"Acartia danae","GBIF"
"Acartia tonsa","GBIF"
"Eudorellopsis longirostris","GBIF"
"Caprella irregularis","GBIF"
"Palaemon modestus","GBIF"
"Labidochirus splendescens","GBIF"
"Bathycopea daltonae","GBIF"
"Ischyrocerus pelagops","GBIF"
"Hippolyte clarki","GBIF"
"Munidopsis antonii","GBIF"
"Metaphoxus frequens","GBIF"
"Maera danae","GBIF"
"Gnathopleustes serratus","GBIF"
"Paraphronima crassipes","GBIF"
"Clausocalanus arcuicornis","GBIF"
"Meterythrops robusta","GBIF"
"Acartia hudsonica","GBIF"
"Spinocalanus brevicaudatus","GBIF"
"Microsetella norvegica","GBIF"
"Limnoria algarum","GBIF"
"Eualus avinus","GBIF"
"Boreomysis pearcyi","GBIF"
"Bulychevia georgiana","GBIF"
"Heterophoxus oculatus","GBIF"
"Lycaea osbornae","GBIF"
"Eualus macrophthalmus","GBIF"
"Metacrangon munita","GBIF"
"Campylaspis biplicata","GBIF"
"Dynamenella sheareri","GBIF"
"Argis lar","GBIF"
"Hymenodora acanthitelsonis","GBIF"
"Haplostoma minutum","GBIF"
"Calliopius carinatus","GBIF"
"Romaleon jordani","GBIF"
"Munidopsis bairdii","GBIF"
"Metacaprella kennerlyi","GBIF"
"Pacifoculodes spinipes","GBIF"
"Paraphoxus similis","GBIF"
"Ampelisca unsocalae","GBIF"
"Salmincola californiensis","GBIF"
"Liljeborgia cota","GBIF"
"Photis reinhardi","GBIF"
"Araphura breviaria","GBIF"
"Heptacarpus palpator","GBIF"
"Paramoera bucki","GBIF"
