"Species","Source"
"Gonichthys cocco","OBIS"
"Echidna nocturna","OBIS"
"Myctophum affine","OBIS"
"Girella nigricans","OBIS"
"Oxycirrhites typus","OBIS"
"Thunnus albacares","OBIS"
"Tylosurus crocodilus","OBIS"
"Cyclothone acclinidens","OBIS"
"Apogon pacificus","OBIS"
"Scorpaena sonorae","OBIS"
"Malacoctenus ebisui","OBIS"
"Myctophum nitidulum","OBIS"
"Cyclopsetta querna","OBIS"
"Prognathodes carlhubbsi","OBIS"
"Rhynchoconger nitens","OBIS"
"Gonichthys tenuiculus","OBIS"
"Isopisthus remifer","OBIS"
"Occidentarius platypogon","OBIS"
"Gnathanodon speciosus","OBIS"
"Bregmaceros bathymaster","OBIS"
"Fowlerichthys avalonis","OBIS"
"Exocoetus monocirrhus","OBIS"
"Symphurus callopterus","OBIS"
"Echidna nebulosa","OBIS"
"Alectis ciliaris","OBIS"
"Fodiator acutus","OBIS"
"Dactylagnus mundus","OBIS"
"Synodus lucioceps","OBIS"
"Bellator xenisma","OBIS"
"Carcharhinus limbatus","OBIS"
"Symphurus chabanaudi","OBIS"
"Porichthys analis","OBIS"
"Archosargus pourtalesii","OBIS"
"Nematistius pectoralis","OBIS"
"Gymnomuraena zebra","OBIS"
"Scorpaena russula","OBIS"
"Axoclinus lucillae","OBIS"
"Lythrypnus rhizophora","OBIS"
"Uropterygius macrocephalus","OBIS"
"Ophichthus zophochir","OBIS"
"Pristigenys serrula","OBIS"
"Prionotus ruscarius","OBIS"
"Heteropriacanthus cruentatus","OBIS"
"Lophiodes caulinaris","OBIS"
"Alphestes multiguttatus","OBIS"
"Bellator gymnostethus","OBIS"
"Benthosema panamense","OBIS"
"Bathygobius andrei","OBIS"
"Remora remora","OBIS"
"Cynoscion phoxocephalus","OBIS"
"Aetobatus narinari","OBIS"
"Pseudogramma thaumasia","OBIS"
"Coralliozetus angelicus","OBIS"
"Auxis thazard","OBIS"
"Gymnothorax equatorialis","OBIS"
"Nexilosus latifrons","OBIS"
"Engraulis mordax","OBIS"
"Aruma histrio","OBIS"
"Thunnus obesus","OBIS"
"Barbulifer pantherinus","OBIS"
"Bathylagoides nigrigenys","OBIS"
"Hemiramphus saltator","OBIS"
"Menticirrhus nasus","OBIS"
"Menticirrhus undulatus","OBIS"
"Malacoctenus zonifer","OBIS"
"Selene brevoortii","OBIS"
"Symphurus elongatus","OBIS"
"Brotula clarkae","OBIS"
"Diplectrum euryplectrum","OBIS"
"Trachinotus stilbe","OBIS"
"Bothus leopardinus","OBIS"
"Cynoscion reticulatus","OBIS"
"Ctenochaetus marginatus","OBIS"
"Bathophilus filifer","OBIS"
"Syacium latifrons","OBIS"
"Haemulopsis nitidus","OBIS"
"Symbolophorus evermanni","OBIS"
"Diplectrum macropoma","OBIS"
"Gobioclinus dendriticus","OBIS"
"Caranx lugubris","OBIS"
"Anchoa argentivittata","OBIS"
"Opisthopterus dovii","OBIS"
"Acanthemblemaria hancocki","OBIS"
"Carcharhinus falciformis","OBIS"
"Abudefduf declivifrons","OBIS"
"Ogcocephalus darwini","OBIS"
"Gillichthys seta","OBIS"
"Pleuronichthys ocellatus","OBIS"
"Stomias colubrinus","OBIS"
"Hypanus longus","OBIS"
"Diaphus pacificus","OBIS"
"Naucrates ductor","OBIS"
"Lepophidium prorates","OBIS"
"Halichoeres semicinctus","OBIS"
"Acanthemblemaria macrospilus","OBIS"
"Aluterus scriptus","OBIS"
"Anchoa starksi","OBIS"
"Strongylura scapularis","OBIS"
"Chaenopsis alepidota","OBIS"
"Narcine entemedor","OBIS"
"Citharichthys stigmaeus","OBIS"
"Fistularia corneta","OBIS"
"Brachygenys californiensis","OBIS"
"Pomadasys branickii","OBIS"
"Microlepidotus inornatus","OBIS"
"Psenes cyanophrys","OBIS"
"Elops affinis","OBIS"
"Anchoa mundeoloides","OBIS"
"Stegastes leucorus","OBIS"
"Heterodontus francisci","OBIS"
"Centropomus viridis","OBIS"
"Pherallodiscus funebris","OBIS"
"Heteroconger klausewitzi","OBIS"
"Halichoeres melanotis","OBIS"
"Crocodilichthys gracilis","OBIS"
"Dialommus macrocephalus","OBIS"
"Pleuronichthys verticalis","OBIS"
"Syngnathus auliscus","OBIS"
"Ariosoma gilberti","OBIS"
"Dactyloscopus lunaticus","OBIS"
"Cynoscion parvipinnis","OBIS"
"Diplectrum labarum","OBIS"
"Trachinotus kennedyi","OBIS"
"Tomicodon humeralis","OBIS"
"Synchiropus atrilabiatus","OBIS"
"Cheilopogon xenopterus","OBIS"
"Stomias atriventer","OBIS"
"Bairdiella icistia","OBIS"
"Pareques perissa","OBIS"
"Tomicodon chilensis","OBIS"
"Prionotus albirostris","OBIS"
"Acanthemblemaria exilispinus","OBIS"
"Gillichthys mirabilis","OBIS"
"Mustelus lunulatus","OBIS"
"Starksia spinipenis","OBIS"
"Dialommus fuscus","OBIS"
"Ekemblemaria myersi","OBIS"
"Gymneleotris seminuda","OBIS"
"Odontoscion eurymesops","OBIS"
"Euleptorhamphus viridis","OBIS"
"Bothus constellatus","OBIS"
"Pontinus sierra","OBIS"
"Kuhlia mugil","OBIS"
"Larimus pacificus","OBIS"
"Micropogonias ectenes","OBIS"
"Pliosteostoma lutipinnis","OBIS"
"Fistularia petimba","OBIS"
"Caranx vinctus","OBIS"
"Anchoa lucida","OBIS"
"Xenichthys xanti","OBIS"
"Oligoplites refulgens","OBIS"
"Enneanectes reticulatus","OBIS"
"Achirus scutum","OBIS"
"Lampanyctus parvicauda","OBIS"
"Tigrigobius digueti","OBIS"
"Hemanthias signifer","OBIS"
"Porichthys notatus","OBIS"
"Kathetostoma averruncus","OBIS"
"Urotrygon chilensis","OBIS"
"Decodon melasma","OBIS"
"Pseudobatos productus","OBIS"
"Baldwinella eos","OBIS"
"Muraena clepsydra","OBIS"
"Ilypnus gilberti","OBIS"
"Leuroglossus stilbius","OBIS"
"Anarchias galapagensis","OBIS"
"Hemanthias peruanus","OBIS"
"Istiophorus platypterus","OBIS"
"Larimus acclivis","OBIS"
"Paranthias furcifer","OBIS"
"Lutjanus kasmira","OBIS"
"Symphurus gorgonae","OBIS"
"Symphurus oligomerus","OBIS"
"Urotrygon munda","OBIS"
"Scorpaena plumieri","OBIS"
"Parapsettus panamensis","OBIS"
"Arcos erythrops","OBIS"
"Abudefduf concolor","OBIS"
"Symphurus melanurus","OBIS"
"Hippoglossina bollmani","OBIS"
"Prionotus horrens","OBIS"
"Evorthodus minutus","OBIS"
"Hyporthodus niphobles","OBIS"
"Hyporthodus acanthistius","OBIS"
"Diplectrum eumelum","OBIS"
"Eugerres axillaris","OBIS"
"Nebris occidentalis","OBIS"
"Ophioscion scierus","OBIS"
"Cosmocampus arctus","OBIS"
"Hygophum reinhardtii","OBIS"
"Cherublemma emmelas","OBIS"
"Lythrypnus pulchellus","OBIS"
"Brockius striatus","OBIS"
"Cypselurus callopterus","OBIS"
"Haemulopsis axillaris","OBIS"
"Gymnothorax undulatus","OBIS"
"Anisotremus taeniatus","OBIS"
"Xenomedea rhodopyga","OBIS"
"Anchoa panamensis","OBIS"
"Bollmannia umbrosa","OBIS"
"Protemblemaria bicirrus","OBIS"
"Xystreurys liolepis","OBIS"
"Lampanyctus idostigma","OBIS"
"Nemichthys scolopaceus","OBIS"
"Menticirrhus elongatus","OBIS"
"Sphoeroides lispus","OBIS"
"Pseudobatos leucorhynchus","OBIS"
"Hippoglossina tetrophthalma","OBIS"
"Axoclinus nigricaudus","OBIS"
"Xenichthys agassizii","OBIS"
"Umbrina galapagorum","OBIS"
"Trinectes fonsecensis","OBIS"
"Narcine vermiculata","OBIS"
"Opisthonema berlangai","OBIS"
"Emblemaria hypacanthus","OBIS"
"Lampanyctus macropterus","OBIS"
"Ichthyapus selachops","OBIS"
"Symphurus atricauda","OBIS"
"Anchoa eigenmannia","OBIS"
"Paralonchurus dumerilii","OBIS"
"Tomicodon zebra","OBIS"
"Seriola lalandi","OBIS"
"Citharichthys fragilis","OBIS"
"Opisthonema medirastre","OBIS"
"Haemulopsis elongatus","OBIS"
"Ogilbia ventralis","OBIS"
"Monolene maculipinna","OBIS"
"Scopelengys tristis","OBIS"
"Mustelus henlei","OBIS"
"Myrichthys xysturus","OBIS"
"Stellifer fuerthii","OBIS"
"Genyatremus dovii","OBIS"
"Sphoeroides trichocephalus","OBIS"
"Porichthys myriaster","OBIS"
"Anisotremus surinamensis","OBIS"
"Atherinella serrivomer","OBIS"
"Chitonotus pugetensis","OBIS"
"Chriolepis zebra","OBIS"
"Leuresthes sardina","OBIS"
"Paralabrax nebulifer","OBIS"
"Deckertichthys aureolus","OBIS"
"Micropogonias altipinnis","OBIS"
"Elattarchus archidium","OBIS"
"Urotrygon rogersi","OBIS"
"Paraclinus asper","OBIS"
"Katsuwonus pelamis","OBIS"
"Gymnura marmorata","OBIS"
"Ophichthus remiger","OBIS"
"Physiculus nematopus","OBIS"
"Starksia fulva","OBIS"
"Syngnathus californiensis","OBIS"
"Centropomus unionensis","OBIS"
"Colpichthys regis","OBIS"
"Rhinoptera steindachneri","OBIS"
"Pontinus furcirhinus","OBIS"
"Lycengraulis poeyi","OBIS"
"Chloroscombrus chrysurus","OBIS"
"Seriola peruana","OBIS"
"Heterostichus rostratus","OBIS"
"Pleuronichthys ritteri","OBIS"
"Stellifer illecebrosus","OBIS"
"Lutjanus peru","OBIS"
"Zapteryx exasperata","OBIS"
"Cubiceps pauciradiatus","OBIS"
"Peristedion barbiger","OBIS"
"Carangoides otrynter","OBIS"
"Tigrigobius limbaughi","OBIS"
"Opisthonema oglinum","OBIS"
"Antennatus strigatus","OBIS"
"Entomacrodus sealei","OBIS"
"Bollmannia chlamydes","OBIS"
"Ginglymostoma cirratum","OBIS"
"Enchelycore octaviana","OBIS"
"Ophichthus triserialis","OBIS"
"Hyporhamphus gilli","OBIS"
"Cyclopsetta panamensis","OBIS"
"Menticirrhus panamensis","OBIS"
"Quietula guaymasiae","OBIS"
"Malacoctenus sudensis","OBIS"
"Mycteroperca xenarcha","OBIS"
"Cynoscion squamipinnis","OBIS"
"Idiacanthus antrostomus","OBIS"
"Hemicaranx leucurus","OBIS"
"Dactyloscopus pectoralis","OBIS"
"Heterodontus mexicanus","OBIS"
"Citharichthys xanthostigma","OBIS"
"Larimus effulgens","OBIS"
"Lophiodes spilurus","OBIS"
"Neoopisthopterus tropicus","OBIS"
"Perissias taeniopterus","OBIS"
"Monolene asaedae","OBIS"
"Paraclinus altivelis","OBIS"
"Thermarces cerberus","OBIS"
"Symphurus williamsi","OBIS"
"Stellifer zestocarus","OBIS"
"Ilisha fuerthii","OBIS"
"Diplophos taenia","OBIS"
"Hyporhamphus naos","OBIS"
"Axoclinus storeyae","OBIS"
"Symphurus leeorum","OBIS"
"Platybelone argalus","OBIS"
"Atherinopsis californiensis","OBIS"
"Rypticus saponaceus","OBIS"
"Coelorinchus canus","OBIS"
"Brachygenys jessiae","OBIS"
"Umbrina roncador","OBIS"
"Ariosoma prorigerum","OBIS"
"Mycteroperca jordani","OBIS"
"Arcos rhodospilus","OBIS"
"Anisotremus davidsonii","OBIS"
"Tomicodon myersi","OBIS"
"Muraena argus","OBIS"
"Paralonchurus petersii","OBIS"
"Exocoetus volitans","OBIS"
"Malacanthus brevirostris","OBIS"
"Orthopristis cantharinus","OBIS"
"Liopropoma fasciatum","OBIS"
"Cynoscion albus","OBIS"
"Neobythites stelliferoides","OBIS"
"Prognichthys tringa","OBIS"
"Myliobatis californica","OBIS"
"Hypsoblennius jenkinsi","OBIS"
"Pseudobatos glaucostigma","OBIS"
"Serrivomer sector","OBIS"
"Anchoa exigua","OBIS"
"Aetobatus laticeps","OBIS"
"Notolychnus valdiviae","OBIS"
"Rostroraja velezi","OBIS"
"Paraclinus walkeri","OBIS"
"Paralabrax auroguttatus","OBIS"
"Parexocoetus brachypterus","OBIS"
"Stellifer oscitans","OBIS"
"Scopelarchoides nicholsi","OBIS"
"Ophioscion typicus","OBIS"
"Symphurus fasciolaris","OBIS"
"Porichthys greenei","OBIS"
"Chlorophthalmus mento","OBIS"
"Scorpaena guttata","OBIS"
"Opisthonema bulleri","OBIS"
"Cantherhines dumerilii","OBIS"
"Lepidonectes clarkhubbsi","OBIS"
"Mustelus californicus","OBIS"
"Xanthichthys mento","OBIS"
"Grammonus diagrammus","OBIS"
"Uropterygius versutus","OBIS"
"Malacoctenus margaritae","OBIS"
"Synodus synodus","OBIS"
"Micropogonias megalops","OBIS"
"Gillellus semicinctus","OBIS"
"Paraclinus beebei","OBIS"
"Gymnothorax flavimarginatus","OBIS"
"Cynoponticus coniceps","OBIS"
"Merluccius angustimanus","OBIS"
"Sternoptyx obscura","OBIS"
"Vinciguerria nimbaria","OBIS"
"Mobula munkiana","OBIS"
"Anchoa helleri","OBIS"
"Microgobius erectus","OBIS"
"Prionotus birostratus","OBIS"
"Atherinella nepenthe","OBIS"
"Hyporhamphus roberti","OBIS"
"Serranus aequidens","OBIS"
"Paralabrax clathratus","OBIS"
