"Species","Source"
"Bathyraja trachura","GBIF"
"Pseudobatos planiceps","GBIF"
"Oxyrhina hastalis","GBIF"
"Taeniura lymma","GBIF"
"Aetobatus arcuatus","GBIF"
"Rhizoprionodon taxandriae","GBIF"
"Aetomylaeus vespertilio","GBIF"
"Mustelus canis","GBIF"
"Carcharhinus brachyurus","GBIF"
"Mobula birostris","GBIF"
"Himantura schmardae","GBIF"
"Aetomylaeus asperrimus","GBIF"
"Carcharhinus albimarginatus","GBIF"
"Gymnura crebripunctata","GBIF"
"Hydrolagus mccoskeri","GBIF"
"Beringraja binoculata","GBIF"
"Tetronarce peruana","GBIF"
"Hydrolagus alphus","GBIF"
"Deania calcea","GBIF"
"Galeocerdo cuvier","GBIF"
"Myliobatis californica","GBIF"
"Notorynchus cepedianus","GBIF"
"Urotrygon chilensis","GBIF"
"Rubicundus lakeside","GBIF"
"Carcharhinus galapagensis","GBIF"
"Pristis pristis","GBIF"
"Eptatretus fritzi","GBIF"
"Pseudocarcharias kamoharai","GBIF"
"Urotrygon aspidura","GBIF"
"Pseudobatos leucorhynchus","GBIF"
"Discopyge tschudii","GBIF"
"Dipturus springeri","GBIF"
"Squatina dumeril","GBIF"
"Rhinobatos schlegelii","GBIF"
"Rajella nigerrima","GBIF"
"Bathyraja aguja","GBIF"
"Carcharhinus limbatus","GBIF"
"Arctoraja parmifera","GBIF"
"Benthobatis moresbyi","GBIF"
"Raja stellulata","GBIF"
"Tetronarce peruana","GBIF"
"Centroscyllium granulatum","GBIF"
"Etmopterus schultzi","GBIF"
"Mustelus lenticulatus","GBIF"
