"Species","Source"
"Sebastes rosenblatti","OBIS"
"Lycodapus fierasfer","OBIS"
"Clinocottus acuticeps","OBIS"
"Borostomias panamensis","OBIS"
"Amphistichus rhodoterus","OBIS"
"Atheresthes stomias","OBIS"
"Clinocottus embryum","OBIS"
"Pholis schultzi","OBIS"
"Careproctus longifilis","OBIS"
"Psychrolutes phrictus","OBIS"
"Spectrunculus grandis","OBIS"
"Ernogrammus walkeri","OBIS"
"Quietula y-cauda","OBIS"
"Amphistichus koelzi","OBIS"
"Phytichthys chirus","OBIS"
"Elassodiscus caudatus","OBIS"
"Chirolophis nugator","OBIS"
"Scopelosaurus harryi","OBIS"
"Coryphaena hippurus","OBIS"
"Isopsetta isolepis","OBIS"
"Plectobranchus evides","OBIS"
"Diplophos taenia","OBIS"
"Bathylagoides nigrigenys","OBIS"
"Mugil cephalus","OBIS"
"Paraliparis cephalus","OBIS"
"Alepisaurus ferox","OBIS"
"Bathyraja abyssicola","OBIS"
"Alopias vulpinus","OBIS"
"Bolinichthys longipes","OBIS"
"Paraliparis pectoralis","OBIS"
"Brachyistius aletes","OBIS"
"Cyclothone microdon","OBIS"
"Balistes polylepis","OBIS"
"Lipariscus nanus","OBIS"
"Tridentiger trigonocephalus","OBIS"
"Stemonosudis macrura","OBIS"
"Allocyttus folletti","OBIS"
"Prionotus stephanophrys","OBIS"
"Sternoptyx pseudobscura","OBIS"
"Scytalina cerdale","OBIS"
"Lycenchelys camchatica","OBIS"
"Syngnathus exilis","OBIS"
"Macropinna microstoma","OBIS"
"Chesnonia verrucosa","OBIS"
"Ronquilus jordani","OBIS"
"Jordania zonope","OBIS"
"Mustelus californicus","OBIS"
"Lepophidium stigmatistium","OBIS"
"Kathetostoma averruncus","OBIS"
"Centrobranchus nigroocellatus","OBIS"
"Valenciennellus tripunctulatus","OBIS"
"Lamprogrammus niger","OBIS"
"Remora remora","OBIS"
"Agonopsis sterletus","OBIS"
"Scorpaenodes xyris","OBIS"
"Scopelengys tristis","OBIS"
"Sebastes eos","OBIS"
"Rimicola eigenmanni","OBIS"
"Vinciguerria nimbaria","OBIS"
"Globicephala macrorhynchus","OBIS"
"Lamna ditropis","OBIS"
"Careproctus cypselurus","OBIS"
"Coelorinchus scaphopsis","OBIS"
"Icelinus fimbriatus","OBIS"
"Coryphaenoides leptolepis","OBIS"
"Bajacalifornia burragei","OBIS"
"Decapterus muroadsi","OBIS"
"Rhinoliparis attenuatus","OBIS"
"Cosmocampus arctus","OBIS"
"Notorynchus cepedianus","OBIS"
"Sebastes simulator","OBIS"
"Dorosoma petenense","OBIS"
"Labrisomus xanti","OBIS"
"Psenes pellucidus","OBIS"
"Balaenoptera edeni","OBIS"
"Umbrina roncador","OBIS"
"Mirorictus taningi","OBIS"
"Pteroplatytrygon violacea","OBIS"
"Lucania parva","OBIS"
"Nemichthys larseni","OBIS"
"Lampanyctus festivus","OBIS"
"Balaenoptera borealis","OBIS"
"Thunnus orientalis","OBIS"
"Strongylura exilis","OBIS"
"Anoplarchus insignis","OBIS"
"Paracaristius maderensis","OBIS"
"Cetorhinus maximus","OBIS"
"Sudis atrox","OBIS"
"Somniosus pacificus","OBIS"
"Lampris guttatus","OBIS"
"Lycodapus endemoscotus","OBIS"
"Bothragonus swanii","OBIS"
"Kogia breviceps","OBIS"
"Leuroglossus schmidti","OBIS"
"Paraliparis rosaceus","OBIS"
"Sebastes phillipsi","OBIS"
"Icelinus oculatus","OBIS"
"Paraclinus walkeri","OBIS"
"Anotopterus pharao","OBIS"
"Sebastes alutus","OBIS"
"Centroscyllium nigrum","OBIS"
"Gnathophis cinctus","OBIS"
"Coryphaenoides cinereus","OBIS"
"Oncorhynchus clarkii","OBIS"
"Plagiogrammus hopkinsii","OBIS"
"Pronotogrammus multifasciatus","OBIS"
"Melanocetus johnsonii","OBIS"
"Hirundichthys marginatus","OBIS"
"Diaphus anderseni","OBIS"
"Calamus brachysomus","OBIS"
"Chaenopsis alepidota","OBIS"
"Lampanyctus bristori","OBIS"
"Amblyraja hyperborea","OBIS"
"Clupea harengus","OBIS"
"Cryptopsaras couesii","OBIS"
"Mallotus villosus","OBIS"
"Brama brama","OBIS"
"Eurypharynx pelecanoides","OBIS"
"Melamphaes simus","OBIS"
"Albula vulpes","OBIS"
"Mentodus eubranchus","OBIS"
"Anchoa compressa","OBIS"
"Thaleichthys pacificus","OBIS"
"Zesticelus profundorum","OBIS"
"Dajaus monticola","OBIS"
"Magnisudis atlantica","OBIS"
"Dolichopteryx longipes","OBIS"
"Lactoria diaphana","OBIS"
"Oneirodes acanthias","OBIS"
"Prognathodes falcifer","OBIS"
"Maulisia argipalla","OBIS"
"Ophichthus zophochir","OBIS"
"Careproctus ovigerus","OBIS"
"Paraliparis nassarum","OBIS"
"Pristigenys serrula","OBIS"
"Synchirus gilli","OBIS"
"Anguilla anguilla","OBIS"
"Aphanopus carbo","OBIS"
"Gonostoma atlanticum","OBIS"
"Coryphaenoides armatus","OBIS"
"Bathyagonus nigripinnis","OBIS"
"Ophichthus triserialis","OBIS"
"Apogon guadalupensis","OBIS"
"Paricelinus hopliticus","OBIS"
"Rhamphocottus richardsonii","OBIS"
"Bathyraja microtrachys","OBIS"
"Dialarchus snyderi","OBIS"
"Melanonus zugmayeri","OBIS"
"Ceratoscopelus warmingii","OBIS"
"Howella sherborni","OBIS"
"Triphoturus nigrescens","OBIS"
"Aphanopus arigato","OBIS"
"Liparis rutteri","OBIS"
"Tridentiger bifasciatus","OBIS"
"Antimora rostrata","OBIS"
"Bathylychnops exilis","OBIS"
"Luvarus imperialis","OBIS"
"Photonectes margarita","OBIS"
"Sebastes lentiginosus","OBIS"
"Sebastes proriger","OBIS"
"Roncador stearnsii","OBIS"
"Lepidopus caudatus","OBIS"
"Bathyraja spinosissima","OBIS"
"Lampanyctus acanthurus","OBIS"
"Pholis laeta","OBIS"
"Lycenchelys micropora","OBIS"
"Saccopharynx lavenbergi","OBIS"
"Sebastes emphaeus","OBIS"
"Fodiator acutus","OBIS"
"Opostomias mitsuii","OBIS"
"Rimicola dimorpha","OBIS"
"Lampanyctus niger","OBIS"
"Rhincodon typus","OBIS"
"Halargyreus johnsonii","OBIS"
"Naucrates ductor","OBIS"
"Caristius macropus","OBIS"
"Gempylus serpens","OBIS"
"Stenella attenuata","OBIS"
"Moenkhausia tridentata","OBIS"
"Avocettina bowersii","OBIS"
"Chaenophryne melanorhabdus","OBIS"
"Pteraclis aesticola","OBIS"
"Caranx caballus","OBIS"
"Lycenchelys jordani","OBIS"
"Paraliparis mento","OBIS"
"Sphoeroides annulatus","OBIS"
"Cryptacanthodes aleutensis","OBIS"
"Esselenichthys laurae","OBIS"
"Rhinoliparis barbulifer","OBIS"
"Kali kerberti","OBIS"
"Eutaeniophorus festivus","OBIS"
"Diaphus rafinesquii","OBIS"
"Balaenoptera brydei","OBIS"
"Careproctus colletti","OBIS"
"Coryphaenoides filifer","OBIS"
"Malacocephalus laevis","OBIS"
"Ammodytes personatus","OBIS"
"Lycenchelys callista","OBIS"
"Stegastes leucorus","OBIS"
"Rimicola sila","OBIS"
"Taaningichthys bathyphilus","OBIS"
"Notacanthus chemnitzii","OBIS"
"Ruvettus pretiosus","OBIS"
"Trichiurus lepturus","OBIS"
"Oncorhynchus keta","OBIS"
"Cyclothone alba","OBIS"
"Lobianchia gemellarii","OBIS"
"Nautichthys oculofasciatus","OBIS"
"Echinorhinus cookei","OBIS"
"Coryphaenoides yaquinae","OBIS"
"Grammonus diagrammus","OBIS"
"Agonopsis vulsa","OBIS"
"Kasatkia seigeli","OBIS"
"Cheilopogon californicus","OBIS"
"Gadus chalcogrammus","OBIS"
"Ditropichthys storeri","OBIS"
"Zu cristatus","OBIS"
"Chaenophryne longiceps","OBIS"
"Thunnus alalunga","OBIS"
"Oncorhynchus gorbuscha","OBIS"
"Anguilla rostrata","OBIS"
"Myctophum affine","OBIS"
"Sigmops elongatus","OBIS"
"Gadus macrocephalus","OBIS"
"Limanda aspera","OBIS"
"Bathyraja aleutica","OBIS"
"Benthosema panamense","OBIS"
"Lampanyctus parvicauda","OBIS"
"Hippoglossoides elassodon","OBIS"
"Paraliparis albescens","OBIS"
"Chloroscombrus orqueta","OBIS"
"Sigmops ebelingi","OBIS"
"Agonomalus mozinoi","OBIS"
"Congriscus megastoma","OBIS"
"Esselenichthys carli","OBIS"
"Icelinus burchami","OBIS"
"Radulinus vinculus","OBIS"
"Xeneretmus ritteri","OBIS"
"Gigantactis vanhoeffeni","OBIS"
"Taaningichthys minimus","OBIS"
"Bathylaco nigricans","OBIS"
"Dolicholagus longirostris","OBIS"
"Lagocephalus lagocephalus","OBIS"
"Kali indica","OBIS"
"Symbolophorus evermanni","OBIS"
"Zaprora silenus","OBIS"
"Stenobrachius nannochir","OBIS"
"Serrivomer jesperseni","OBIS"
"Trachinotus paitensis","OBIS"
"Mycteroperca xenarcha","OBIS"
"Sebastes borealis","OBIS"
"Sebastes brevispinis","OBIS"
"Sebastes nigrocinctus","OBIS"
"Syngnathus euchrous","OBIS"
"Starksia guadalupae","OBIS"
"Anoplagonus inermis","OBIS"
"Mesovagus berryi","OBIS"
"Carcharhinus obscurus","OBIS"
"Stylephorus chordatus","OBIS"
"Chaenophryne draco","OBIS"
"Taaningichthys paurolychnus","OBIS"
"Remora australis","OBIS"
"Myoxocephalus scorpius","OBIS"
"Argyropelecus aculeatus","OBIS"
"Pseudorca crassidens","OBIS"
"Steno bredanensis","OBIS"
"Ophichthus unicolor","OBIS"
"Bathophilus indicus","OBIS"
"Cubiceps baxteri","OBIS"
"Bathyagonus infraspinatus","OBIS"
"Mesoplodon carlhubbsi","OBIS"
"Gymnothorax castaneus","OBIS"
"Facciolella equatorialis","OBIS"
"Nezumia kensmithi","OBIS"
"Apogon retrosella","OBIS"
"Hippoglossus stenolepis","OBIS"
"Sebastes gilli","OBIS"
"Bathophilus filifer","OBIS"
"Zenopsis nebulosa","OBIS"
"Porichthys porosissimus","OBIS"
"Bertella idiomorpha","OBIS"
"Labrisomus multiporosus","OBIS"
"Woodsia nonsuchae","OBIS"
"Zapteryx exasperata","OBIS"
"Lampanyctus idostigma","OBIS"
"Etrumeus acuminatus","OBIS"
"Regalecus russellii","OBIS"
"Cetostoma regani","OBIS"
"Merluccius merluccius","OBIS"
"Benthosema suborbitale","OBIS"
"Maulisia mauli","OBIS"
"Lepidocybium flavobrunneum","OBIS"
"Liparis liparis","OBIS"
"Cyclothone braueri","OBIS"
"Lestidium atlanticum","OBIS"
"Euprotomicrus bispinatus","OBIS"
"Diaphus fulgens","OBIS"
"Pallasina barbata","OBIS"
"Facciolella gilbertii","OBIS"
"Lestidiops pacificus","OBIS"
"Bolinichthys pyrsobolus","OBIS"
"Diaphus pacificus","OBIS"
"Apogon pacificus","OBIS"
"Bodianus diplotaenia","OBIS"
"Scomberomorus concolor","OBIS"
"Scomberomorus sierra","OBIS"
"Paraliparis megalopus","OBIS"
"Melamphaes acanthomus","OBIS"
"Porichthys margaritatus","OBIS"
"Cetengraulis mysticetus","OBIS"
"Enneanectes reticulatus","OBIS"
"Paralabrax auroguttatus","OBIS"
"Pleurogrammus monopterygius","OBIS"
"Rimicola cabrilloi","OBIS"
"Sarda lineolata","OBIS"
"Hyporthodus niveatus","OBIS"
"Paraclinus asper","OBIS"
"Alopias superciliosus","OBIS"
"Odontaspis ferox","OBIS"
"Bathysaurus mollis","OBIS"
"Caulophryne jordani","OBIS"
"Lampanyctus ater","OBIS"
"Taractes asper","OBIS"
"Remora brachyptera","OBIS"
"Reinhardtius hippoglossoides","OBIS"
"Poromitra megalops","OBIS"
"Idiacanthus fasciola","OBIS"
"Neonesthes capensis","OBIS"
"Diodon holocanthus","OBIS"
"Ranzania laevis","OBIS"
"Scomber colias","OBIS"
"Citharichthys spilopterus","OBIS"
"Mugil curema","OBIS"
"Carcharhinus brachyurus","OBIS"
"Hygophum proximum","OBIS"
"Stemonosudis elegans","OBIS"
"Scopelosaurus adleri","OBIS"
"Mustelus dorsalis","OBIS"
"Lestidiops sphyraenopsis","OBIS"
"Trachipterus fukuzakii","OBIS"
"Lampadena yaquinae","OBIS"
"Nansenia ahlstromi","OBIS"
"Ophioblennius steindachneri","OBIS"
"Pachycara lepinium","OBIS"
"Careproctus microstomus","OBIS"
"Pontinus rhodochrous","OBIS"
"Sebastes aleutianus","OBIS"
"Argyropelecus olfersii","OBIS"
"Sphoeroides lobatus","OBIS"
"Anchoa delicatissima","OBIS"
"Diplectrum labarum","OBIS"
"Dysalotus oligoscolus","OBIS"
"Lophiodes caulinaris","OBIS"
"Chaunacops coloratus","OBIS"
"Erilepis zonifer","OBIS"
"Paralabrax humeralis","OBIS"
"Urobatis maculatus","OBIS"
"Poromitra cristiceps","OBIS"
"Icelinus limbaughi","OBIS"
"Hyporthodus acanthistius","OBIS"
"Paracaristius nudarcus","OBIS"
"Careproctus kamikawai","OBIS"
"Sphyrna zygaena","OBIS"
"Harriotta raleighana","OBIS"
"Derichthys serpentinus","OBIS"
"Dolopichthys longicornis","OBIS"
"Gonichthys cocco","OBIS"
"Holtbyrnia macrops","OBIS"
"Trachurus picturatus","OBIS"
"Coryphaena equiselis","OBIS"
"Howella brodiei","OBIS"
"Auxis rochei","OBIS"
"Katsuwonus pelamis","OBIS"
"Xiphias gladius","OBIS"
"Salmo trutta","OBIS"
"Flagellostomias boureei","OBIS"
"Melanostomias valdiviae","OBIS"
"Mesoplodon densirostris","OBIS"
"Mentodus facilis","OBIS"
"Kogia sima","OBIS"
"Isistius brasiliensis","OBIS"
"Diaphus parri","OBIS"
"Myctophum aurolaternatum","OBIS"
"Lycodapus pachysoma","OBIS"
"Podothecus accipenserinus","OBIS"
"Bathyagonus alascanus","OBIS"
"Myoxocephalus polyacanthocephalus","OBIS"
