"Species","Source"
"Sphyrna magna","GBIF"
"Carcharhinus","GBIF"
"Rhynchobatus cooki","GBIF"
"Centroscyllium nigrum","GBIF"
"Squalus montalbani","GBIF"
"Chiloscyllium plagiosum","GBIF"
"Urotrygon aspidura","GBIF"
"Glaucostegus halavi","GBIF"
"Rhina ancylostoma","GBIF"
"Potamotrygon motoro","GBIF"
"Bathytoshia lata","GBIF"
"Torpedo marmorata","GBIF"
"Rhinoptera jayakari","GBIF"
"Paragaleus pectoralis","GBIF"
"Fontitrygon ukpam","GBIF"
"Rhinoptera jayakari","GBIF"
"Carcharhinus coatesi","GBIF"
"Schroederichthys tenuis","GBIF"
"Echinorhinus cookei","GBIF"
"Pateobatis jenkinsii","GBIF"
"Carcharhinus brevipinna","GBIF"
"Aetomylaeus bovinus","GBIF"
"Gurgesiella dorsalifera","GBIF"
"Notoraja martinezi","GBIF"
"Sphyrna tudes","GBIF"
"Raja parva","GBIF"
"Mustelus lenticulatus","GBIF"
"Aetomylaeus nichofii","GBIF"
"Stegostoma fasciatum","GBIF"
"Potamotrygon falkneri","GBIF"
"Potamotrygon falkneri","GBIF"
"Potamotrygon albimaculata","GBIF"
"Dalatias licha","GBIF"
"Pteroplatytrygon violacea","GBIF"
"Rhinobatos rhinobatos","GBIF"
"Torpedo mackayana","GBIF"
"Tetronarce nobiliana","GBIF"
"Carcharias taurus","GBIF"
"Sphyrna couardi","GBIF"
"Raja radula","GBIF"
"Potamotrygon marquesi","GBIF"
"Gymnura altavela","GBIF"
"Isurus paucus","GBIF"
"Potamotrygon orbignyi","GBIF"
"Deania profundorum","GBIF"
"Taeniura grabata","GBIF"
"Carcharhinus altimus","GBIF"
"Pseudocarcharias kamoharai","GBIF"
"Rhizoprionodon terraenovae","GBIF"
"Carcharhinus obscurus","GBIF"
"Heliotrygon rosai","GBIF"
"Centroscymnus crepidater","GBIF"
"Bathytoshia centroura","GBIF"
"Dasyatis marmorata","GBIF"
"Heptranchias perlo","GBIF"
"Scyliorhinus stellaris","GBIF"
"Potamotrygon signata","GBIF"
"Squatina aculeata","GBIF"
"Rhynchobatus luebberti","GBIF"
"Centrophorus lusitanicus","GBIF"
"Galeorhinus galeus","GBIF"
"Squalus acanthias","GBIF"
"Carcharhinus galapagensis","GBIF"
"Etmopterus spinax","GBIF"
"Oxynotus centrina","GBIF"
"Scyliorhinus canicula","GBIF"
"Centrophorus squamosus","GBIF"
"Zanobatus schoenleinii","GBIF"
"Centrophorus uyato","GBIF"
"Squatina africana","GBIF"
"Potamotrygon pantanensis","GBIF"
"Hexanchus griseus","GBIF"
"Isogomphodon oxyrhynchus","GBIF"
"Carcharhinus plumbeus","GBIF"
"Potamotrygon leopoldi","GBIF"
"Hemiscyllium strahani","GBIF"
"Potamotrygon ocellata","GBIF"
"Hemiscyllium freycineti","GBIF"
"Okamejei cairae","GBIF"
"Pastinachus stellurostris","GBIF"
"Carcharhinus melanopterus","GBIF"
"Apristurus sibogae","GBIF"
"Centrophorus granulosus","GBIF"
"Centrophorus isodon","GBIF"
"Apristurus sibogae","GBIF"
"Fontitrygon colarensis","GBIF"
"Sphyrna prisca","GBIF"
"Hemipristis serra","GBIF"
"Carcharhinus priscus","GBIF"
"Carcharias megalodon","GBIF"
"Isistius triangulus","GBIF"
"Lamna eurybathrodon","GBIF"
"Myliobatis","GBIF"
"Acrodobatis obliquus","GBIF"
"Carcharias subauriculatus","GBIF"
"Carcharhinus egertoni","GBIF"
