"Sample_name","BestTaxon","Class","nReads","domain","phylum","class","order","family","genus","species"
"RL2501_F006_1_3_MV1","Luidia foliolata","Asteroidea",14,"Eukaryota","Echinodermata","Asteroidea","Paxillosida","Luidiidae","Luidia","Luidia foliolata"
"RL2501_F006_1_3_MV1","Merluccius productus","Actinopteri",1327,"Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius productus"
"RL2501_F006_1_3_MV1","Mola","Actinopteri",19,"Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Molidae","Mola",NA
"RL2501_F006_1_3_MV1","Ostreococcus sp. lucimarinus","Mamiellophyceae",3,"Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Ostreococcus","Ostreococcus sp. 'lucimarinus'"
"RL2501_F006_1_3_MV1","Patiria miniata","Asteroidea",20,"Eukaryota","Echinodermata","Asteroidea","Valvatida","Asterinidae","Patiria","Patiria miniata"
"RL2501_F006_1_3_MV1","Pisaster","Asteroidea",6,"Eukaryota","Echinodermata","Asteroidea","Forcipulatida","Asteriidae","Pisaster",NA
"RL2501_F006_1_3_MV1","Psenes pellucidus","Actinopteri",18,"Eukaryota","Chordata","Actinopteri","Scombriformes","Nomeidae","Psenes","Psenes pellucidus"
"RL2501_F006_1_3_MV1","Sebastes","Actinopteri",9230,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F006_1_3_MV1","Sebastes entomelas","Actinopteri",32,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes entomelas"
"RL2501_F006_1_3_MV1","Strongylocentrotus purpuratus","Echinoidea",191,"Eukaryota","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus","Strongylocentrotus purpuratus"
"RL2501_F006_1_3_MV1","Symbolophorus californiensis","Actinopteri",34,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F006_1_3_MV1","Syngnathus","Actinopteri",313,"Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",NA
"RL2501_F006_1_3_MV1","Triphoturus mexicanus","Actinopteri",19,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Triphoturus","Triphoturus mexicanus"
"RL2501_F006_1_3_MV1","Zalophus californianus","Mammalia",84,"Eukaryota","Chordata","Mammalia","Carnivora","Otariidae","Zalophus","Zalophus californianus"
"RL2501_F006_1_3_MV1",NA,NA,31730,NA,NA,NA,NA,NA,NA,NA
"RL2501_F006_1_4_MV1","Chloropicon","Chloropicophyceae",10,"Eukaryota","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloropicon",NA
"RL2501_F006_1_4_MV1","Engraulis mordax","Actinopteri",5337,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F006_1_4_MV1","Homo sapiens","Mammalia",134,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F006_1_4_MV1","Sebastes","Actinopteri",1412,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F006_1_4_MV1",NA,NA,12108,NA,NA,NA,NA,NA,NA,NA
"RL2501_F011_1_MV1","Alopias vulpinus","Chondrichthyes",29,"Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Alopias","Alopias vulpinus"
"RL2501_F011_1_MV1","Ceratoscopelus","Actinopteri",7886,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F011_1_MV1","Cyclothone signata","Actinopteri",508,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F011_1_MV1","Delphinidae","Mammalia",337,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_F011_1_MV1","Diogenichthys atlanticus","Actinopteri",102,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diogenichthys","Diogenichthys atlanticus"
"RL2501_F011_1_MV1","Diogenichthys laternatus","Actinopteri",306,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diogenichthys","Diogenichthys laternatus"
"RL2501_F011_1_MV1","Engraulis mordax","Actinopteri",1019,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F011_1_MV1","Homo sapiens","Mammalia",162,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F011_1_MV1","Myctophum nitidulum","Actinopteri",14,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F011_1_MV1","Notoscopelus","Actinopteri",306,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus",NA
"RL2501_F011_1_MV1","Phosichthyidae","Actinopteri",2382,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F011_1_MV1","Scomber japonicus","Actinopteri",142,"Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber japonicus"
"RL2501_F011_1_MV1","Sebastes","Actinopteri",543,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F011_1_MV1","Stenella coeruleoalba","Mammalia",107,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Stenella","Stenella coeruleoalba"
"RL2501_F011_1_MV1","Stomias","Actinopteri",75,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae","Stomias",NA
"RL2501_F011_1_MV1","Symbolophorus californiensis","Actinopteri",7384,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F011_1_MV1","Tetragonurus cuvieri","Actinopteri",94012,"Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"RL2501_F011_1_MV1","Trachurus symmetricus","Actinopteri",957,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F011_1_MV1",NA,NA,7087,NA,NA,NA,NA,NA,NA,NA
"RL2501_F011_2_MV1","Astropecten verrilli","Asteroidea",9,"Eukaryota","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten verrilli"
"RL2501_F011_2_MV1","Bathycoccus prasinos","Mamiellophyceae",10,"Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos"
"RL2501_F011_2_MV1","Ceratoscopelus","Actinopteri",3236,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F011_2_MV1","Cyclothone signata","Actinopteri",310,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F011_2_MV1","Engraulis mordax","Actinopteri",585,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F011_2_MV1","Microstoma microstoma","Actinopteri",34,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Microstomatidae","Microstoma","Microstoma microstoma"
"RL2501_F011_2_MV1","Phosichthyidae","Actinopteri",473,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F011_2_MV1","Sebastes","Actinopteri",105,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F011_2_MV1","Sebastes pinniger","Actinopteri",213,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes pinniger"
"RL2501_F011_2_MV1","Symbolophorus californiensis","Actinopteri",4343,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F011_2_MV1","Tetragonurus cuvieri","Actinopteri",48747,"Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"RL2501_F011_2_MV1","Trachurus symmetricus","Actinopteri",707,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F011_2_MV1",NA,NA,8624,NA,NA,NA,NA,NA,NA,NA
"RL2501_F011_3_MV1","Alopias vulpinus","Chondrichthyes",32,"Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Alopias","Alopias vulpinus"
"RL2501_F011_3_MV1","Ceratoscopelus","Actinopteri",4289,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F011_3_MV1","Chiasmodontidae","Actinopteri",95,"Eukaryota","Chordata","Actinopteri","Scombriformes","Chiasmodontidae",NA,NA
"RL2501_F011_3_MV1","Cololabis saira","Actinopteri",325,"Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Cololabis","Cololabis saira"
"RL2501_F011_3_MV1","Cyclothone signata","Actinopteri",320,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"RL2501_F011_3_MV1","Cyclothone sp. CBM:ZF:14769","Actinopteri",111,NA,NA,NA,NA,NA,NA,NA
"RL2501_F011_3_MV1","Delphinidae","Mammalia",174,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_F011_3_MV1","Diogenichthys laternatus","Actinopteri",194,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diogenichthys","Diogenichthys laternatus"
"RL2501_F011_3_MV1","Engraulis mordax","Actinopteri",129,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F011_3_MV1","Homo sapiens","Mammalia",104,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F011_3_MV1","Isurus oxyrinchus","Chondrichthyes",23,"Eukaryota","Chordata","Chondrichthyes","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus"
"RL2501_F011_3_MV1","Lampanyctus tenuiformis","Actinopteri",303,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus tenuiformis"
"RL2501_F011_3_MV1","Myctophum nitidulum","Actinopteri",7,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F011_3_MV1","Ostreococcus sp. lucimarinus","Mamiellophyceae",6,"Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Ostreococcus","Ostreococcus sp. 'lucimarinus'"
"RL2501_F011_3_MV1","Phosichthyidae","Actinopteri",2089,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F011_3_MV1","Sebastes","Actinopteri",381,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F011_3_MV1","Stenella coeruleoalba","Mammalia",96,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Stenella","Stenella coeruleoalba"
"RL2501_F011_3_MV1","Symbolophorus californiensis","Actinopteri",4442,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F011_3_MV1","Tetragonurus cuvieri","Actinopteri",74881,"Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"RL2501_F011_3_MV1","Trachurus symmetricus","Actinopteri",390,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F011_3_MV1",NA,NA,17602,NA,NA,NA,NA,NA,NA,NA
"RL2501_F011_4_MV1","Ceratoscopelus","Actinopteri",5079,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F011_4_MV1","Cololabis saira","Actinopteri",404,"Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Cololabis","Cololabis saira"
"RL2501_F011_4_MV1","Delphinidae","Mammalia",115,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_F011_4_MV1","Diogenichthys atlanticus","Actinopteri",146,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diogenichthys","Diogenichthys atlanticus"
"RL2501_F011_4_MV1","Engraulis mordax","Actinopteri",931,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F011_4_MV1","Homo sapiens","Mammalia",775,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F011_4_MV1","Phosichthyidae","Actinopteri",612,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F011_4_MV1","Sebastes","Actinopteri",933,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F011_4_MV1","Stomiidae","Actinopteri",573,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae",NA,NA
"RL2501_F011_4_MV1","Symbolophorus californiensis","Actinopteri",3765,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F011_4_MV1","Syngnathus","Actinopteri",229,"Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",NA
"RL2501_F011_4_MV1","Tetragonurus cuvieri","Actinopteri",83154,"Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"RL2501_F011_4_MV1","Trachurus symmetricus","Actinopteri",579,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F011_4_MV1",NA,NA,15526,NA,NA,NA,NA,NA,NA,NA
"RL2501_F012_1_MV1","Bathycoccus prasinos","Mamiellophyceae",7,"Eukaryota","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","Bathycoccus","Bathycoccus prasinos"
"RL2501_F012_1_MV1","Ceratoscopelus","Actinopteri",276,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F012_1_MV1","Delphinidae","Mammalia",258,"Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_F012_1_MV1","Engraulis mordax","Actinopteri",2706,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F012_1_MV1","Homo sapiens","Mammalia",130,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F012_1_MV1","Myctophum nitidulum","Actinopteri",3093,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F012_1_MV1","Phosichthyidae","Actinopteri",68246,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F012_1_MV1","Prionace glauca","Chondrichthyes",378,"Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca"
"RL2501_F012_1_MV1","Scomber japonicus","Actinopteri",552,"Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber japonicus"
"RL2501_F012_1_MV1","Sebastes","Actinopteri",549,"Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_F012_1_MV1","Stomias atriventer","Actinopteri",729,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae","Stomias","Stomias atriventer"
"RL2501_F012_1_MV1","Symbolophorus californiensis","Actinopteri",6103,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_F012_1_MV1","Tetragonurus cuvieri","Actinopteri",3605,"Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"RL2501_F012_1_MV1","Trachurus symmetricus","Actinopteri",2274,"Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"RL2501_F012_1_MV1",NA,NA,11671,NA,NA,NA,NA,NA,NA,NA
"RL2501_F012_2_MV1","Bathylagoides wesethi","Actinopteri",519,"Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Bathylagoides","Bathylagoides wesethi"
"RL2501_F012_2_MV1","Ceratoscopelus","Actinopteri",437,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"RL2501_F012_2_MV1","Homo sapiens","Mammalia",323,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_F012_2_MV1","Isurus oxyrinchus","Chondrichthyes",126,"Eukaryota","Chordata","Chondrichthyes","Lamniformes","Lamnidae","Isurus","Isurus oxyrinchus"
"RL2501_F012_2_MV1","Myctophum nitidulum","Actinopteri",419,"Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Myctophum","Myctophum nitidulum"
"RL2501_F012_2_MV1","Phosichthyidae","Actinopteri",38195,"Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"RL2501_F012_2_MV1","Prionace glauca","Chondrichthyes",155,"Eukaryota","Chordata","Chondrichthyes","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca"
