"ASV_id","domain_global","phylum_global","class_global","order_global","family_global","genus_global","species_global","pct_id_global","TAXID","SCIENTIFIC_NAME","COUNT","sintax","domain_local","phylum_local","class_local","order_local","family_local","genus_local","species_local","pct_id_local","pass1_winner","pass2_triggered","preferred_pctid","preferred_database","preferred_domain","preferred_phylum","preferred_class","preferred_order","preferred_family","preferred_genus","preferred_species","preferred_scientific_name"
"MiFish_0000476","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",99.4152046783626,"48193","Mugil cephalus",222,"d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus",99.4,"global",TRUE,99.4152046783626,"lca_global_v_local","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Mugil cephalus"
"MiFish_0000477",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,30,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000478","Eukaryota","Chordata","Actinopteri","Spariformes","Sparidae","Archosargus","Archosargus rhomboidalis",96.4705882352941,"722560","Archosargus rhomboidalis",60,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,96.4705882352941,"global","Eukaryota","Chordata","Actinopteri","Spariformes","Sparidae","Archosargus","Archosargus rhomboidalis","Archosargus rhomboidalis"
"MiFish_0000479","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus",98.8235294117647,"168377","Sphoeroides annulatus",30,NA,NA,NA,NA,NA,NA,NA,NA,0,"global",FALSE,98.8235294117647,"global","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides annulatus","Sphoeroides annulatus"
"MiFish_0000480",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,14,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000481",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,14,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000482",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,27,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000483",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,96,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000484",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,40,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000485",NA,NA,NA,NA,NA,NA,NA,0,"None",NA,111,NA,NA,NA,NA,NA,NA,NA,NA,0,"local",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
