"ASV_id","before_domain","after_domain","before_phylum","after_phylum","before_class","after_class","before_order","after_order","before_family","after_family","before_genus","after_genus","before_species","after_species","match_rank"
"MiFish_0000369","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000402","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000417","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Epinephelus","Epinephelus","Epinephelus bontoides",NA,"genus"
"MiFish_0000478","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Spariformes","Spariformes","Sparidae","Sparidae","Archosargus",NA,"Archosargus rhomboidalis",NA,"family"
"MiFish_0000488","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Epinephelus","Epinephelus","Epinephelus bontoides",NA,"genus"
"MiFish_0000507","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000509","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Hyporthodus","Hyporthodus","Hyporthodus octofasciatus",NA,"genus"
"MiFish_0000517","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Spariformes","Spariformes","Sparidae","Sparidae","Archosargus",NA,"Archosargus rhomboidalis",NA,"family"
"MiFish_0000535","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000551","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gobiiformes","Gobiiformes","Gobiidae","Gobiidae","Bathygobius","Bathygobius","Bathygobius fuscus",NA,"genus"
"MiFish_0000567","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Beloniformes","Beloniformes","Hemiramphidae","Hemiramphidae","Hyporhamphus","Hyporhamphus","Hyporhamphus yuri",NA,"genus"
"MiFish_0000571","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Cephalopholis","Cephalopholis","Cephalopholis sexmaculata",NA,"genus"
"MiFish_0000572","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri",NA,NA,"Pomacentridae","Pomacentridae","Abudefduf","Abudefduf","Abudefduf taurus",NA,"genus"
"MiFish_0000601","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri",NA,NA,"Pomacentridae","Pomacentridae","Abudefduf","Abudefduf","Abudefduf hoefleri",NA,"genus"
"MiFish_0000615","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Beloniformes","Beloniformes","Hemiramphidae","Hemiramphidae","Hyporhamphus","Hyporhamphus","Hyporhamphus yuri",NA,"genus"
"MiFish_0000622","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Beloniformes","Beloniformes","Hemiramphidae","Hemiramphidae","Hyporhamphus","Hyporhamphus","Hyporhamphus yuri",NA,"genus"
"MiFish_0000634","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Epinephelus","Epinephelus","Epinephelus bontoides",NA,"genus"
"MiFish_0000675","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Mycteroperca","Mycteroperca","Mycteroperca bonaci",NA,"genus"
"MiFish_0000679","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Scorpaenidae","Scorpaenidae","Pontinus","Pontinus","Pontinus macrocephalus",NA,"genus"
"MiFish_0000689","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Mycteroperca","Mycteroperca","Mycteroperca bonaci",NA,"genus"
"MiFish_0000705","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Beloniformes","Beloniformes","Hemiramphidae","Hemiramphidae","Hyporhamphus","Hyporhamphus","Hyporhamphus yuri",NA,"genus"
"MiFish_0000769","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Spariformes","Spariformes","Sparidae","Sparidae","Archosargus",NA,"Archosargus rhomboidalis",NA,"family"
"MiFish_0000782","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000795","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000801","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000813","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Blenniiformes","Blenniiformes","Blenniidae","Blenniidae","Plagiotremus","Plagiotremus","Plagiotremus tapeinosoma",NA,"genus"
"MiFish_0000815","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Blenniiformes","Blenniiformes","Blenniidae","Blenniidae","Plagiotremus","Plagiotremus","Plagiotremus tapeinosoma",NA,"genus"
"MiFish_0000826","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Mycteroperca","Mycteroperca","Mycteroperca bonaci",NA,"genus"
"MiFish_0000838","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000865","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Syngnathiformes","Syngnathiformes","Mullidae","Mullidae","Mulloidichthys","Mulloidichthys","Mulloidichthys vanicolensis",NA,"genus"
"MiFish_0000866","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Tetraodontiformes","Tetraodontiformes","Tetraodontidae","Tetraodontidae","Sphoeroides","Sphoeroides","Sphoeroides parvus",NA,"genus"
"MiFish_0000884","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000889","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Pleuronectiformes","Pleuronectiformes","Bothidae","Bothidae","Bothus","Bothus","Bothus robinsi",NA,"genus"
"MiFish_0000901","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri",NA,NA,"Pomacentridae","Pomacentridae","Abudefduf","Abudefduf","Abudefduf taurus",NA,"genus"
"MiFish_0000919","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri",NA,NA,"Pomacentridae","Pomacentridae","Abudefduf","Abudefduf","Abudefduf taurus",NA,"genus"
"MiFish_0000935","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0000937","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Spariformes","Spariformes","Sparidae","Sparidae","Archosargus",NA,"Archosargus rhomboidalis",NA,"family"
"MiFish_0000945","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Epinephelus","Epinephelus","Epinephelus bontoides",NA,"genus"
"MiFish_0000947","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0000952","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Acanthuriformes","Acanthuriformes","Acanthuridae","Acanthuridae","Prionurus","Prionurus","Prionurus biafraensis",NA,"genus"
"MiFish_0001019","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0001021","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Epinephelus","Epinephelus","Epinephelus bontoides",NA,"genus"
