"ASV_id","domain","phylum","class","order","family","genus","species","regatta_match_rank"
"MiFish_0000856","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus kasmira","species"
"MiFish_0000823",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000844","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000845",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000833",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000858",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000830",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000863",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000850",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000834",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000847","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000873",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000867",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000841",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000842",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000857","Eukaryota","Chordata","Actinopteri","Centrarchiformes","Kyphosidae","Kyphosus","Kyphosus vaigiensis","species"
"MiFish_0000872",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000820",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000876","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000821",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000849",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000851",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000862",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000866",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000829",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000874",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000884",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000859","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Thalassoma","Thalassoma lutescens","species"
"MiFish_0000883",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000854",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000853",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000882","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000836",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000871",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000865",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000878","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Arothron","Arothron hispidus","species"
"MiFish_0000832",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000861",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000860",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000831",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000869",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000880",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000888",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000890",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000864",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000875",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000879",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000898",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000877",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000889",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000893",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000887",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000870",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000912",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000891",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000881",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000920","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000892",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000897",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000868",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000925",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000896","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Arothron","Arothron hispidus","species"
"MiFish_0000908",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000907",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000895",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000894",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000901",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000885",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000886",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000902",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000904",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000914","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000837",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000909",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000910",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000924",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000899",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000900",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000931",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000916",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000928",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000913",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000919",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000915",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000926",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000929",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000911",NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000906",NA,NA,NA,NA,NA,NA,NA,NA
