"ASV_id","pct_id","count","obitools_name","domain","phylum","class","order","family","genus","species","regatta_match_rank"
"MiFish_0000892",0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000893",98.2954545454545,14,"Stegastes arcifrons","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons","species"
"MiFish_0000894",0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000895",98.8571428571428,12,"Stegastes arcifrons","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons","species"
"MiFish_0000896",99.4152046783626,22,"Arothron","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Arothron",NA,"genus"
"MiFish_0000897",0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000898",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000899",0,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000900",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000901",99.4082840236686,12,"Abudefduf taurus","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA,"genus"
"MiFish_0000902",0,261,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000903",100,63,"Gymnothorax meleagris","Eukaryota","Chordata","Actinopteri","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax meleagris","species"
"MiFish_0000904",99.4082840236686,34,"Gerres cinereus","Eukaryota","Chordata","Actinopteri","Gerreiformes","Gerreidae","Gerres","Gerres cinereus","species"
"MiFish_0000905",0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000906",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000907",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000908",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000909",99.4285714285714,32,"Stegastes arcifrons","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons","species"
"MiFish_0000910",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000911",99.4285714285714,44,"Stegastes arcifrons","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons","species"
"MiFish_0000912",99.4318181818182,24,"Chanos chanos","Eukaryota","Chordata","Actinopteri","Gonorynchiformes","Chanidae","Chanos","Chanos chanos","species"
"MiFish_0000913",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000914",98.2456140350877,19,"Mugil thoburni","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000915",0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000916",0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000917",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000918",99.4285714285714,17,"Stegastes beebei","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes beebei","species"
"MiFish_0000919",99.4082840236686,17,"Abudefduf taurus","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Abudefduf",NA,"genus"
"MiFish_0000920",98.8304093567252,50,"Mugil cephalus","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","species"
"MiFish_0000921",0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000922",0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000923",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000924",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000925",99.4318181818182,41,"Chanos chanos","Eukaryota","Chordata","Actinopteri","Gonorynchiformes","Chanidae","Chanos","Chanos chanos","species"
"MiFish_0000926",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000927",0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000928",0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000929",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000930",0,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000931",0,328,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000932",0,1222,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000933",95.2380952380952,118,"Sciaenidae","Eukaryota","Chordata","Actinopteri",NA,"Sciaenidae",NA,NA,"family"
"MiFish_0000934",0,115,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000935",97.0414201183432,173,"Lutjanus argentimaculatus","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA,"genus"
"MiFish_0000936",0,70,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000937",96.4705882352941,21,"Archosargus rhomboidalis","Eukaryota","Chordata","Actinopteri","Spariformes","Sparidae",NA,NA,"family"
"MiFish_0000938",0,56,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000939",0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000940",0,337,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000941",0,68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000942",98.8165680473373,111,"Muraena lentiginosa","Eukaryota","Chordata","Actinopteri","Anguilliformes","Muraenidae","Muraena","Muraena lentiginosa","species"
"MiFish_0000943",0,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000944",100,311,"Holacanthus","Eukaryota","Chordata","Actinopteri",NA,"Pomacanthidae","Holacanthus",NA,"genus"
"MiFish_0000945",96.4497041420118,68,"Epinephelus bontoides","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Epinephelus",NA,"genus"
"MiFish_0000946",0,1878,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000947",97.6331360946746,30,"Lutjanus argentimaculatus","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA,"genus"
"MiFish_0000948",0,498,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000949",95.2380952380952,41,"Sciaenidae","Eukaryota","Chordata","Actinopteri",NA,"Sciaenidae",NA,NA,"family"
"MiFish_0000950",0,162,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000951",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000952",98.8235294117647,275,"Prionurus biafraensis","Eukaryota","Chordata","Actinopteri","Acanthuriformes","Acanthuridae","Prionurus",NA,"genus"
"MiFish_0000953",99.4285714285714,16,"Stegastes beebei","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes beebei","species"
"MiFish_0000954",100,424,"Tetraodontiformes","Eukaryota","Chordata","Actinopteri","Tetraodontiformes",NA,NA,NA,"order"
"MiFish_0000955",0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000956",0,69,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000957",0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000958",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000959",0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000960",0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000961",99.4082840236686,14,"Gerres cinereus","Eukaryota","Chordata","Actinopteri","Gerreiformes","Gerreidae","Gerres","Gerres cinereus","species"
"MiFish_0000962",0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000963",0,37,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000964",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000965",0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000966",0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000967",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
