"""Actaea"" angusta"
Areopaguristes mauritanicus
Areopaguristes micheleae
Argathona lineata
Argathona macronema
Argathona rhinoceros
Argathona trichota
Argulus africanus
Arietellus aculeatus
Arietellus giesbrechti
Arietellus plumifer
Arietellus setosus
Aristaeomorpha foliacea
Aristaeopsis edwardsiana
Aristeus semidentatus
Aristeus varidens
Aristeus virilis
Armadillidium granulatum
Armadillidium hirtum
Armadillidium odhneri
Armadillidium tigris
Armadillidium vulgare
Armadillo intermixtus
Armases angustipes
Armases angustum
Armases benedicti
Armases elegans
Armases occidentale
Armases rubripes
Armatobalanus quadrivittatus
Armillifer armillatus
Armillifer grandis
Artemia monica
Artystone trysibia
Ashtoret lunaris
Aspinus acicularis
Astericola clausii
Asterocheres brevisurculus
Asterocheres crinoidicola
Asterocheres echinicola
Asteropontius gonioporae
Astroxynus choriasteris
Astroxynus culcitae
Atelecyclus rotundatus
Atergatis floridus
Atergatis integerrimus
Atergatis latissimus
Atergatis ocyroe
Atergatopsis germainii
Atergatopsis signata
Athanas areteformis
Athanas parvus
Athanas tenuipes
Atjehella semiplicata
Atlantistylis chauvini
Atlantocuma tenue
Atya crassa
Atya gabonensis
Atya intermedia
Atya scabra
Atydina atyoides
Atyoida pilipes
Atyopsis moluccensis
Atyopsis spinipes
Audacallichirus mirim
Augaptilus longicaudatus
Aulacolambrus diacanthus
Aulacolambrus granulosus
Aulacolambrus hoplonotus
Austinixa aidae
Austinixa transversalis
Austinogebia spinifrons
Austrocephaloides tori
Austromegabalanus psittacus
Austruca annulipes
Austruca lactea
Austruca perplexa
Austruca triangularis
Automate anacanthopus
Automate dolichognatha
Axiopsis baronai
Axiopsis consobrina
Axiopsis pica
Axiopsis serratifrons
Axiopsis tsushimaensis
Ayressoleberis colesi
Azotostoma bunakenensis
Babamunida brucei
Babamunida robusta
Bacescomysis birsteini
Bacescomysis peruvianus
Bairdoppilata hirsuta
Balanus calidus
Balanus crenatus
Balanus declivis
Balanus glandula
Balanus laevis
Balanus minutus
Balanus poecilus
Balanus trigonus
Balssia gasti
Balssiathelphusa phasma
Balucopsylla cf. triarticulata
Baptozius vinosus
Baruna trigranulum
Batea conductor
Bathyarctus rubens
Bathyceradocus stephenseni
Bathycheles incisus
Bathycheles integer
Bathyconchoecia baskiae
Bathycuma elongatum
Bathycuma longicaudatum
Bathycuma squamosa
Bathymenes aleator
Bathymunida balssi
Bathymunida dissimilis
Bathymunida frontis
Bathymunida ocularis
Bathymunida rudis
Bathymunida sibogae
Bathynectes piperitus
Bathynomus giganteus
Bathynomus miyarei
Bathypalaemonella serratipalma
Bathypicrocuma ifrmer
Bathypluma forficula
Belemnopontia dispinosa
Bellibos monicae
Belzebub hanseni
Bemlos achire
Bemlos macromanus
Bemlos tridens
Bentheogennema intermedia
Bentheogennema pasithea
Bentheogennema stephenseni
Benthesicymus altus
Benthesicymus investigatoris
Benthesicymus tanneri
Benthesicymus tirmiziae
Bentheuphausia amblyops
Benthochascon hemingi
Benthoecetes tanneri
Benthopanope eucratoides
Berndtia nodosa
Bestiolina sarae
Bestiolina similis
Betamorpha fusiformis
Biarctus vitiensis
Bicornucythere bisanensis
Biffarius botterae
Bigelowina phalangium
Birgus latro
Bonnierella campensis
Bopyrophryxus branchiabdominalis
Bopyrus bimaculatus
Boreomysis acuminata
Boreomysis microps
Boreomysis tattersalli
Boroecia antipoda
Bosmina hagmanni
Bosmina longirostris
Bosmina tubicen
Bosminopsis brandorffi
Bosminopsis deitersi
Bosminopsis negrensis
Bossacarcinus celebensis
Bottoxanthodes insculptus
Bouvieraxius keiensis
Brachiella thynni
Brachycarpus biunguiculatus
Brachyscelus crusculum
Brachyscelus macrocephalus
Brachyscelus rapacoides
Bradleya thomasi
Bradya kurtschminkei
Braga brasiliensis
Braga cichlae
Braga patagonica
Brasergasilus jaraquensis
Brasergasilus oranus
Brucecaris tenuis
Buddelundia lateralis
Buea asylos
Burmoniscus angusticauda
Burmoniscus kohleri
Bythograea galapagensis
Bythograea intermedia
Bythograea microps
Bythograea thermydron
Bytholeucon hiscens
Cabirops tenuis
Caesaromysis hispida
Calamorhynchus pellucidus
Calanoides carinatus
Calanopia elliptica
Calanopia minor
Calanus chilensis
Calanus helgolandicus
Calanus sinicus
Calappa bicornis
Calappa calappa
Calappa capellonis
Calappa convexa
Calappa flammea
Calappa galloides
Calappa gallus
Calappa hepatica
Calappa japonica
Calappa ocellata
Calappa pelii
Calappa philargius
Calappa pustulosa
Calappa rubroguttata
Calappa woodmasoni
Calappula saussurei
Calaxius galapagensis
Calaxius sibogae
Calcinus elegans
Calcinus explorator
Calcinus fuscus
Calcinus gaimardii
Calcinus gouti
Calcinus guamensis
Calcinus haigae
Calcinus hazletti
Calcinus isabellae
Calcinus laevimanus
Calcinus latens
Calcinus lineapropodus
Calcinus minutus
Calcinus morgani
Calcinus obscurus
Calcinus pulcher
Calcinus tibicen
Calcinus vachoni
Caligus balistae
Caligus belones
Caligus confusus
Caligus cornutus
Caligus coryphaenae
Caligus infestans
Caligus irritans
Caligus productus
Caligus robustus
Callianidea laevicauda
Callianidea typa
Callidactylus asper
Callinectes amnicola
Callinectes arcuatus
Callinectes bocourti
Callinectes danae
Callinectes declivis
Callinectes gladiator
Callinectes marginatus
Callinectes ornatus
Callinectes pallidus
Callinectes paraensis
Callinectes reticulatus
Callinectes sapidus
